,Reviews,Game Title
47,"If you enjoyed the puzzle nature of Portal and the action of Shadow Complex, there is no reason why you shouldn't play . Even if you didn't particularly like those games, I feel that you should give it a shot. Not only is  fun to play, it is incredibly well built and glistens with polish.",Rochard
48,It just does its style of controlled chaos really well.,Jamestown: Legend of the Lost Colony
49,"This is the most complete, large, fun and ambitious Trackmania game ever made. It improves upon the formula that has make the game succeed, and again challenges us to beat our best times and also our rivals'. And at a very attractive price.",TrackMania 2 Canyon
50," has a vibrant, cartoony look and feel while providing an addictive and solid tower defense gaming experience. Reinventing tower defense is a tough chore but  manages to pull it off.",Dungeon Defenders
51,"There's not much to say in summary other than ""It's a bargain!""",Anomaly: Warzone Earth
52," is maybe rough around the edges, has things that could have been better and has some strange solutions to gaming mechanics, but really, who cares? The main thing, close combat with zombies on an open environment, is both exceptionally well done and most importantly, great fun. Even alone. In the land of blindingly pretty, but simplified tubeshooters the ugly zombie game is the king. [Sept 2011]",Dead Island
53,"Revelations closes the Assassin's Creed journey with a familiar looking videogame, but a new iteration so epic and amazing as you might expect. It's a worthy end for the first volume of the series.",Assassin's Creed: Revelations
54,"Unique and confident in its place in the free-to-play world, this team-based MMO is a surefire winner, balancing fun with depth and detail with action.",World of Tanks
55,"It's nothing revolutionary as far as Dawn of War II goes, but six excellent campaigns and great gameplay make this a must for both Warhammer 40K and RTS fans.","Warhammer 40,000: Dawn of War II - Retribution"
56," has brought back a flood of wonderful memories for me and while I fully realize that I'm a certified Panzer General fan boy and that could possibly cloud my judgment of the merits of , all I know is that my campaign ended in a German defeat.",Panzer Corps
57,"A true salvation for a nearly-dead franchise. [October 2011, p.68]",Driver: San Francisco
58,"Capsized recalls memories of Turrican, Commander Keen, and Cybernator, but this is not a nostalgic retro-rehash. You won't find chunky pixels, chiptune soundtracks, or tongue-in-cheek nods to the past. Capsized is a modern original; a nearly pitch-perfect blend of combat and exploration that manages to be as beautiful as it is exhilarating.",CAPSIZED
59,"Having played both Super Street Fighter IV and Dead or Alive Dimensions, DOAD is far superior is our books and is easily one of the best fighters available on any portable console. The gameplay is flawlessly fun and even though we have seen it all before, this may be the fact on home consoles but not in the portable world of gaming. The developers have included enough fan service to make any Dead or Alive fanboy or girl glee from joy but best of all, it's got the gameplay and the graphics.",Dead or Alive: Dimensions
60,Help Brian and Gina to solve their last adventure - It's definitely worth the while.,Runaway: A Twist of Fate
61,"Instantly accessible, free for the base game, an active community that's happy to accommodate new players and a combat system that's got plenty of room to grow, Funcom have whacked this one out of the park.",Bloodline Champions
62,"There is a truly massive amount of game here for the $5 asking price, and Gaslamp Games has clearly set Dredmor apart from the crowd. If you've ever felt the need to crawl a dungeon, this one is most definitely for you, as it serves as both an excellent ""my first roguelike"" and a challenging quest for the experienced spelunker.",Dungeons of Dredmor
63,"In terms of RAGEs story, there is a lot of wasted potential in this otherwise brilliant shooter. The same could be said for the technical side of things, as RAGE undoubtedly looks good, but far from brilliant, ""thanks"" to its multiplatform-roots. Nevertheless: id's newest IP offers great atmosphere, spot-on gunplay, cool weapons, funny vehicle-combat and solid graphics; that leaves us hoping for Carmack's promised texture-patch.",Rage
64,The best add-on for The Sims 3 so far. Pets bring a lot of extra playability. Pet lovers hardly find anything better to play. Unicorn included! [Dec 2011],The Sims 3: Pets
65,"It's short but sweet, which I personally prefer over games that overstay their welcome. It's also a pleasure to play, with a satisfying mix of action/platformer pizzazz and puzzle elements with a steady, addictive progression from those simple first stages to the devious concoctions of the late game.",Mighty Switch Force!
66,"A worthwhile add-on to its predecessor. Most weaknesses like clunky animations and a troublesome interface have been eliminated, and you'll play about 14 hours - so much more than these very popular mini-DLCs nowadays.",Two Worlds II: Pirates of the Flying Fortress
67,"Modern Warfare 3 is pure perfection in gameplay and graphics, and it's only going to get better as more DLC arrives and the game is refined and balanced as the designers analyze real-time data from all the matches being played. There is no fan base more loyal than Call of Duty, and this game is guaranteed to delight all who play now and in the years to come.",Call of Duty: Modern Warfare 3
68,"Somehow, despite the complexity, Devil Survivor Overclocked manages to remain accessible throughout.",Shin Megami Tensei: Devil Survivor Overclocked
69,"Overall though,  was a delightful experience. It made some incredibly useful changes and additions to gameplay while maintaining the heart of the Tropico series. And the annoyances were few and far between enough that this title is worth turning on again and again. Viva la Tropico!",Tropico 4
70,"Overall, the general feel of Shadow Wars is a solid turn-based strategy game -- even if its story backdrop, limited multiplayer, and character archetypes are short on originality.",Tom Clancy's Ghost Recon: Shadow Wars
71,"It feels refreshing to be able to say that Sonic is good again. His upward trajectory over the last year continues and he's only gaining momentum.  is largely a game for the most hardcore of Sonic fans, but for the millions who have fond memories of narrowly dodging spikes, grinding on rails, or even that time he was a pinball,  is a game made for you.",Sonic Generations
72,"Vivid and tactically demanding, Assault Squad is a brilliant multiplayer game that's even better with friends. [June 2011, p.78]",Men of War: Assault Squad
73,"For those who haven't had chance to play it, there is no better recommendation in 3D line Classics.",3D Classics: Kirby's Adventure
74,"Overall, Prejudice is a vast improvement over the original with new modes to experience, polished controls and an even deeper customization system. If you're looking for a fun time alone or to share with some friends, for $15 you really can't go wrong here.",Section 8: Prejudice
75,"Might & Magic Heroes VI is a solid installment of the popular turn-based strategy series, probably one of the best.",Might & Magic: Heroes VI
76,"Konami has improved the AI a lot and everything just feels smoother and more direct. It's not a revolution, but a more polished and improved version of the game.",Pro Evolution Soccer 2012
77,"Taking everything into consideration, it's safe to say that  is a must play for any fan of turn based strategy games, as it is one that I'll be playing for some time to come.",Xenonauts
78,"Overall, Duels of the Planeswalkers 2012 is a relatively by-the-numbers enhancement of the previous game. Normally these sorts of increments would be frustrating, but considering the tremendous value the game presents to causal Magic fans it's easy to overlook another purchase when compared to the alternative. For the cost of a few booster packs, Duels of the Planeswalkers 2012 provides a balanced, enjoyable experience that Magic fans of all levels can enjoy – at least until next year.",Magic: The Gathering - Duels of the Planeswalkers 2012
79,"It's accessible, it's decent fun, and there's a metric ton of content.",The Sims Medieval
80,"This great adventure is entertaining for adults and children alike. [Sept 2011, p.73]",Hamilton's Great Adventure
81,"An unusual yet beautiful game bound to remind you of nature's power. [Oct 2011, p.50]",From Dust
82,The co-op is a nice topping on a delicious slice of retro action – but you might still feel hungry afterwards.,Renegade Ops
83,"Overall, I really enjoyed . Even if you're not a huge fan of the LEGO titles, it's hard to deny that Traveler's Tales has managed to refine the formula of what makes these games work. Toss in the standard co-op mode, which is always a lot of fun, and you've got a great time-waster on your hands here.",LEGO Star Wars III: The Clone Wars
84,"The basic fact is that Red Orchestra 2 spoils you. Playing any other shooter, especially one that claims to be realistic, after going through a few rounds in RO2 is bound to be a disappointment.",Red Orchestra 2: Heroes of Stalingrad
85,"Pretty much what you'd expect if PopCap made a shooter.  is a quirky, amusing, and hugely replayable shmup at a wonderfully low asking price.",Who's That Flying?!
86,"One of the best ways to spend 20 bucks. Incredibly strong and fascinating online action. [December 2011, p.83]",Payday: The Heist
87,"If you are looking for a really good role playing game, that keeps up with a straight but good story, you will find it in . Your character can live through a lot of customization and the world is rich of 70 hours of action-role playing with more than 300 quests.",Two Worlds II
88,"What I do know is this: despite the million dollar game budgets that have taken us to this age of gaming, we are still in a place where a studio like Spiderweb Software exists to give us . This game reminded me of some of the best games I've ever played. Perhaps most importantly, it made me want more. Despite the fact that it probably won't be for everybody, and despite the fact that the mainstream may have moved away from this type of game forever, I'm still giving it an Editor's Choice award.",Avadon: The Black Fortress
89,Black Mirror 3 is the third instalment in the horror-thriller point'n click adventure series and definitely the best one yet. It's a little better than its predecessors in every aspect: the story has more intensity and puzzles are a little bit more polished. BM 3 offers a decent ending to the sinister saga of the Gordons. On the minus side the inventory is cumbersome and the grande finale loses some of the game's otherwise compelling atmosphere. Still it's worth the while. [Aug 2011],Black Mirror III: Final Fear
90,"Honestly if not for some minor complaints Red Faction Armageddon would be a damn near perfect game. As it is, this is a strong contender for best game of the year for its fantastic mix of intense action, fun character customization that changes how you play the game, great graphics and all around fantastic gameplay experience. Even the minor flaws are easily ignored and most will likely not even notice them, as wrapped up in the game as they will be.",Red Faction: Armageddon
91,"Bit.Trip SAGA stands alone as a visually enhanced, portable repackaging of some of the best games of this generation of consoles. Just like Paris, Bit.Trip SAGA is for lovers.",Bit.Trip Saga
92,It wraps up all the plotlines and does a fantastic job of it.,Back to the Future: The Game - Episode V: OUTATIME
93,"The short, breakneck campaigns create a compelling game you'll likely revisit time and time again. It's the perfect blend of planning and reflexes, requiring you to thoroughly plan every move but remain highly reactive and adaptable.",Atom Zombie Smasher
94,"The suffering world of Albion has arrived on the PC, and it is up to you to choose a side. Especially for casual action-rpg fans an easy-going and satisfying concept.",Fable III
95,"I have to hand it to Namco-Bandai: With the exception of omitting online multiplayer, it really put together a solid entry in the series for the 3DS launch, one that's easily high on the list of best titles available for the new system.",Ridge Racer 3D
96,"So if you love a fun and challenging shooter with a clever mix of styles and a killer assortment of boss battles then  is definitely worth checking out. While 32 levels might sound like a lot, they are surprisingly short and fast, and competent gamers can blast their way through the Story Mode in 3-4 hours, but with the endless appeal of Arcade and Boss Rush modes there is enough addictive old-school arcade goodness to keep coming back for more microscopic carnage time and time again.",Nano Assault
97," reminds me a lot of classic N64 platformers like Mario 64 and Banjo Kazooie in the best of ways. By mixing a dark reimagining of a literary classic with stylish combat and rock-solid platforming, EA and Spicy Horse have created a gaming experience quite unlike any other. At any rate, its miles better than the lacklustre Tim Burton movie released last year. This is one rabbit hole worth tumbling down.",Alice: Madness Returns
98,"Hector Badge of Carnage: We Negotiate With Terrorists is a great little adventure that's often shocking, frequently offensive and always hilarious. Despite (or perhaps because of) its gross out moments and unabashedly low-brow humor, it's one of the most entertaining, unique adventure games most of us have seen in longer than we'd like to remember.",Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists
99," is a prime example of what a graphic adventure should be. It's got it all: an entertaining story, great writing, creative but logical puzzles, good voice acting and music, beautiful artwork and a killer sense of humor.",The Next Big Thing
100,"If you played the first episode, you'll definitely like this one. I can't recommend this episode, as well as the full package, enough.",Back to the Future: The Game - Episode II: Get Tannen!
101,"In it's PC porting, EDGE retains most of its good qualities as a funny action/platformer.",Edge (2011)
102,"Tetris: Axis is one of the sweetest 3DS games you'll find. It lacks the fun Nintendo themed stages that made Tetris DS unforgettable, but there's so much content, we doubt players will mind; and seriously, you should already own a copy of Tetris DS anyway.",Tetris Axis
103,But suffice to say  isn't just a grand open-world space action RPG in the tradition of Star Control. It's also a rare expression of zombies that belongs alongside Dead Rising and Atom Zombie Smasher.,Space Pirates and Zombies
104,"The rich, luscious colors somehow make the world a lot more believable than games like Crysis 2 could ever be.",Magicka
105,"If you're a fan of the Warhammer 40k machine or just looking for some good old fashioned action then look no further than Warhammer 40,000 Space Marine for PC.","Warhammer 40,000: Space Marine"
106,"In the end,  is a great game.",F.E.A.R. 3
107," has faults - it's samey and repetitive in long-play sessions, for example, and if the trailers don't tickle you then there's little chance the full game will impress. However, considering the low price and artistic spark that lies at the heart of the game,  becomes a difficult game to turn down, even if the mechanical side of the experience doesn't quite rival the creative side, and there are occasional glitches with the physics of enemy AI.",Rock of Ages
108,"Both a throwback and an innovation. It takes a formula pioneered decades ago, puts a fantasy story and theme over it, and perfects the concept with clever and challenging level design.",Fortix 2
109,"The Missing Link is one of the best DLC releases ever. Even though it's a bit pricey, it's very much worth the price. There's a lot of stuff to do, interesting combat and best of all, the new in-house made boss fight is infinitely more fun than the useless bosses at the original Human Revolution. [Nov 2011]",Deus Ex: Human Revolution - The Missing Link
110,"Hector: Badge of Carnage is without question, one of the best new adventures-in fact, one of the best game properties-to come out in recent memory. With its likeably slobbish anti-hero and the possibility for endless story setups, we adventure fans would do well to cross our fingers that the collaboration between Telltale and Straandlooper continues well beyond the current trilogy.",Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice
111,"Overall, Lego: Pirates was a game experience I'd be willing to play over and over again in order to complete all of the side objectives in the game. Initially getting through the puzzles is engaging and being able to go back later and unlock all the things I couldn't access before is made less tedious by just how nice the game looks to play and the de-emphasis on the combat. And the fact that I'm playing with pirates, which as we all know are far more awesome than ninjas.",LEGO Pirates of the Caribbean: The Video Game
112,"It's seriously one of the best adventure games I've played in years that has words in it (I'm looking at you, Machinarium). It doesn't just tell a good story, it's tightly plotted too.",The Blackwell Deception
113,"A challenging, rewarding and sublime homage to the early days of the first-person shooter - with a few modern twists. [Dec 2011, p.58]",Hard Reset
114,"An ideal blend of sim and arcade. [June 2011, p.86]",Pro Evolution Soccer 2011 3D
115,"7 quid is a good price for a universe. [Sept 2011, p.89]",Solar 2
116,"When all is said and done, Serious Sam 3 is just plain refreshing. It's nice to have a game that relies so much on flat-out enemy decimation, and which does it so well, so beautifully, and while providing at least the opportunity to share the experience with friends online.",Serious Sam 3: BFE
117,"I had a ball playing it, and seven hours passed without me noticing. I recommend  to fans of blocks, and just about anyone who loves indie games.",Blocks That Matter
118,"This isn't the sort of MMO that asks you to park for hours on end several nights in a row. It's more of a co-operative or competitive multiplayer action game, perfect for short intense visits. And because your character doesn't sport rows of tiny icons for a thousand different skills, DC Universe is also perfect for less frequent visits.",DC Universe Online
119,"Misdirection, manipulation, and an inventory filled with objects are the tools of the stage magician, but they're also the basics of the adventure-game genre. Why it's taken so long for the two to be combined is anyone's guess, but in , the fit is so natural that it seems like it's the way adventure games always should have been.",Gray Matter
120,"If you can stomach the controls, you'll find a well-polished action RPG beneath that surface.",Dungeon Siege III
121,"Atari's latest open-world racer serves up hotter cars, warmer climates and more torrid racing action than its predecessor. [April 2011, p.70]",Test Drive Unlimited 2
122,Quotation forthcoming.,FIFA Manager 12
123,"As impressive as some of Nintendogs + Cats is on a technological level, I failed miserably to really get anything out of it. However, I'm not the target market in this case and my daughter had no problem awarding the game a very good score.",Nintendogs + Cats: French Bulldog & New Friends
124,"An awesome piece of very approachable (if not plain too easy) fan service and, in this case, pleasing fans ain't bad at all.",Back to the Future: The Game - Episode III: Citizen Brown
125,"As impressive as some of Nintendogs + Cats is on a technological level, I failed miserably to really get anything out of it. However, I'm not the target market in this case and my daughter had no problem awarding the game a very good score.",Nintendogs + Cats: Toy Poodle & New Friends
126,"Lacklustre cats and familiar pooches, but still an engaging and adorable pet sim. [Apr 2011, p.102]",Nintendogs + Cats: Golden Retriever & New Friends
127,"If you are a wrestling fan with a 3DS, this is a great game for your library.",WWE All Stars
128,"If you're already played it in the Wii version, exploring it on 3DS is both familiar and different. [Jan 2012, p.91]",LEGO Harry Potter: Years 5-7
129,A surprisingly deep and well-designed FPS/RTS hybrid. A Team Fortress 2 alternative that needs a community to thrive.,Nuclear Dawn
130,"In all fairness though  is one of the best aerial combat games that I've ever played and the folks over at Namco Bandai delivered another fantastic addition to their critically acclaimed franchise. It has the right amount of action, easy to use and fluid controls and great visuals for a 3DS title.  is totally worth the price of admission and a must have if you own a Nintendo 3DS.",Ace Combat: Assault Horizon Legacy
131,Black Mirror 2 is a great adventure with a creepy atmosphere and great gameplay! Recommendable for fans of the genre and everybody else!,Black Mirror II: Reigning Evil
132,"A challenging game that is a little rough around the edges in some ways and the audio is a big overall step down from past games. However, the overall experience is a must for anyone who enjoyed prior games in the series, or even the Wii Sports Resort flight mini-games.",Pilotwings Resort
133,"For Back to the Future fans or just adventure game aficionados, Episode Four is amazing. And from the looks of the teaser at the end of this chapter, the next one might just surpass it.",Back to the Future: The Game - Episode IV: Double Visions
134,"Overall, I strongly recommend Hector: Badge of Carnage to anyone who doesn't mind their comedy getting a little bit filthy.",Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom
135,"While it may seem trivial to say,  lives up to its title perfectly. It's a fully-featured Age of Empires game, while including all the Online trappings an MMO aficionado could want.",Age of Empires Online
136,It's an innovative and enjoyable experience and one that I lost myself in as time flew by.,Sanctum (2011)
137,The very first flight simulator capable of attracting gamers who always ignored this genre. Two large maps and plenty of missions with detailed models of helicopters make you a fan of flying. [Dec 2011],Take On Helicopters
138,"A positive surprise, a remarkable ""public transport tycoon"" game from a brand new dev team that clears all the basic hurdles of the genre and manages to be entertaining. Traffic simulation needs some fixes, but otherwise quite polished and beautiful - just make sure your video card is good enough.",Cities in Motion
139," is a worthy buy for anyone who doesn't absolutely hate multiplayer FPS action. It blurs the line between single-player and multiplayer styles, introduces an effective new movement system, and finds ways of discouraging all the obnoxious behavior common in most multiplayer shooters. The campaign is long, and the different classes allow you to play each mission over and over without getting bored.",Brink
140,"It brings new humour, new methods of interaction, and a much more fleshed-out portrayal of personality for your Sims. In fact, it can be argued that this is the desert-island expansion pack; the pack you'd choose if you could only pick one. If you own the Sims 3 you need to buy Generations.",The Sims 3: Generations
141,"Really, though, it's the characters, not to mention their well done dialog, and story resolution that make the DLC something any fan of the main game should experience.",Fallout: New Vegas - Dead Money
142,"Play Sequence well and you'll fall into Zen bliss, forgetting all your problems and applauding yourself after every victory. Fumble and you'll swear in grunts, hating yourself until you get it right. Perseverance is hard, but worthwhile.",Before the Echo
143,"I love this game, and despite a few forgivable flaws  is easily one of the most immersive and emotional campaigns that come to mind in my 30 years of gaming. Sure, the campaign is short. Deal with it. With that ending there is either going to be a sequel or some killer DLC. Meanwhile, you can reap the rewards and satisfaction of some of the best multiplayer combat we've seen so far in 2011.",Homefront
144," is a deep turn-based strategy game where the player can determine every aspect of a nation. Is a good game, but not for everyone.",Pride of Nations
145,A brave and largely successful attempt to use the medium of videogames to depict environmental crises.,Fate of the World
146,"Overall the game is polished, the map is gorgeous, and the emphasis on goals other than war is a refreshing change from the vast majority of strategy titles out there.",Sengoku
147,"While points have to be docked for the annoying QTEs, the rest of The Run is amazingly exhilarating. The set pieces left us panting for breath, unable to process what had just happened, and the excitement level only dropped to 'really exciting' in between.",Need for Speed: The Run
148," might not have a huge hype around it, but that doesn't make it a bad game. It's a very challenging game that will be loved by everyone that is into platform games.",Shinobi
149,"With an acceptable duration, some challenging puzzles and the ability to constantly surprise, Toxic Games has created a title with personality. It's a must have for any lover of the genre and a great way to enter the world of the puzzle for novices.",Q.U.B.E.
150,"It's unclear whether there will be more to  later (as the closing credits hint at a continuation of the story and a possible ""part two""), but I'll be first in line if there is. This is a very light, charming little game that deserves an hour or two of your time. Just be sure to have a walkthrough ready for when you get to the crazy combination lock puzzle.",Lume
151,"The vibrant community is what makes the difference,  is simply not forsaken. The key points for a MMO are available right away: Cool graphics, lots of players and even more details.",Forsaken World
152,The only real complaint I have-besides the non-scrolling map mentioned earlier-is that the game has no multiplayer mode.,Runespell: Overture
153,"It offers a fantastic adrenaline rush, great mood and dialogue to go with it, all while providing a considerable number of post-campaign and co-op challenges for those who want more.",Earth Defense Force: Insect Armageddon
154,The greatest character and planet creation kit ever. If the exploration had been better this would be gold but then you'd probably be paying £30 for it.,"Freakyforms: Your Creations, Alive!"
155,"Colourful, challenging and most importantly a great deal of fun. You may well have missed it the first time around, but the game's second chance is also yours. Don't miss it.",3D Classics: TwinBee
156,"The multiplayer is a blast and the battles just feel so epic. For $15, you really can't go wrong with this action RPG. It will take some patience, but once you understand how the game works, you will be hooked.",Mount & Blade: With Fire & Sword
157,"I enjoyed  a lot more than I initially thought I would. The game design favors action and strategy over resource management, and the level of difficulty, while daunting for most, was a refreshing change from the more casual military offerings out there these days.",Men of War: Vietnam
158,Very atmospheric first person shooter you can enjoy the best in small doses. Hardly anything to criticize because it is free and promises long-term entertainment. [Issue#204],Battlefield: Play4Free
159,"The only real flaw I can point out is optimization –  slows down randomly once in a while. It does not impair its great playability though. [March 2012, p.46]",Oil Rush
160,"Great for those moments when you have time to spare and you can outdo your previous performance. For most it will be just that - a great game to play for a bit, but not particularly addictive. In some however, it will inspire marathon gaming sessions into the early hours of the morning, bettering your scores and those of others.",Xotic
161,"A great way to try your hand at driving a train. Unfortunately, load times are long and DLCs all cost extra, but optional simplified controls and a great look with many details and weather effects make this a good game. If you like trains, but can't or won't go for a miniature train, this simulation is for you.",Railworks 3: Train Simulator 2012
162,An exceptional expansion pack that further adds to the base game's medieval atmosphere.,The Sims Medieval: Pirates & Nobles
163,"If you're a fan of Mahjong, this is worth checking out.",Mahjong Cub3d
164,"Just as serving a delicious cheesecake on a bed of rotten mackerel kills the appetite, so OpFlash: Red River turns the stomach with its nauseating intro. No matter how appealing the main event might be, you just can't get that image out of your head.",Operation Flashpoint: Red River
